service_id,date,exception_type
毎日,20191014,1
毎日,20191022,1
毎日,20191103,1
毎日,20191104,1
毎日,20191123,1
毎日,20191230,1
毎日,20191231,2
毎日,20200101,2
毎日,20200102,2
毎日,20200103,2
毎日,20200113,1
毎日,20200211,1
毎日,20200320,1
▲,20191014,2
▲,20191022,2
▲,20191103,2
▲,20191104,2
▲,20191123,2
▲,20191230,1
▲,20191231,2
▲,20200101,2
▲,20200102,2
▲,20200103,2
▲,20200113,2
▲,20200211,2
▲,20200320,2
●,20191014,2
●,20191022,2
●,20191103,2
●,20191104,2
●,20191123,2
●,20191230,1
●,20191231,2
●,20200101,2
●,20200102,2
●,20200103,2
●,20200113,2
●,20200211,2
●,20200320,2
